Loan No,Borrower ID,Product,Purpose,Orig Dt,Mat Dt,Orig Bal ($),Curr Bal ,Int Rate,Term,P&I,Status,DPD,Last Paid,Prop St,Zip,FICO,Grade,Emp Length,Income Band,Col_17,Svcr,Servicer Name,As Of,Source System,Pool Cd,Notes
LN-000096,B-00401,Fixed Rate,Debt consolidation,11/13/2018,11/13/2033,"$280,000.00",143474.33,0.04875,180,2196.03,Current,0,2026-06-12,TN,47636,694,C,5 years,250k+,380000,SVC-03,SVC-03 Servicing LLC,2026-07-20,LEGACY-AS400,P-2024-A,refi
LN-000097,B-00275,HELOC,Home improvement,09/11/2024,09/11/2054,"$716,500.00","$338,637.84",0.06120,360,4351.21,Current,0,2026-06-08,OH,62387,705,A-,< 1 year,250k+,844000,SVC-04,SVC-04 Servicing LLC,2026-07-15,BLACKKNIGHT,P-2024-A,refi
LN-000098,B-00181,Adjustable Rate,Purchase,05/15/2018,45792,"$534,000.00",380955.03,0.07650,84,8938.50,Current,0,2026-06-24,IN,50091,,A,1 year,<50k,684000,SVC-04,SVC-04 Servicing LLC,2026-07-19,LEGACY-AS400,P-2023-C,
LN-000099,B-00375,Fixed Rate,Cash-out refi,03/16/2017,03/16/2032,"$247,000.00",176703.69,0.04487,180,1887.89,Current,0,2026-06-19,FL,42865,658,A-,< 1 year,<50k,327000,SVC-06,SVC-06 Servicing LLC,2026-07-06,ENCOMPASS,P-2023-C,see servicing file
LN-000100,B-00276,Auto,Purchase,02/01/2024,02/01/2029,"$97,000.00",88882.73,0.06322,60,1889.84,Current,0,2026-07-16,CA,75098,796,B,1 year,50-75k,112000,SVC-01,SVC-01 Servicing LLC,2026-07-29,SHAWBROOK,P-2023-C,
LN-000101,B-00334,Fixed,Debt consolidation,01/20/2023,01/20/2030,"$569,000.00",450002.13,0.06272,84,8386.66,Current,0,2026-07-07,FL,41935,250,B+,7 years,75-100k,842000,SVC-05,SVC-05 Servicing LLC,2026-07-30,ENCOMPASS,P-2024-A,refi
LN-000102,B-00109,Personal,Debt consolidation,01/08/2022,08/01/2027,"$706,000.00",486378.72,0.04104,60,13035.23,Current,0,2026-07-23,MA,13379,,A-,2 years,<50k,1104000,SVC-01,SVC-01 Servicing LLC,2026-07-30,ENCOMPASS,P-2024-A,refi
LN-000103,B-00397,Adjustable Rate,Debt consolidation,06/25/2018,06/25/2038,"$391,500.00",254131.37,0.05281,240,2644.88,Current,45,2026-06-01,PA,74070,609,C,5 years,100-150k,591000,SVC-02,SVC-02 Servicing LLC,2026-07-09,ENCOMPASS,P-2024-A,refi
LN-000104,B-00132,HELOC,Refinance,08/05/2015,08/05/2045,"$764,500.00",563900.97,0.05704,360,4439.10,Current,0,2026-06-17,AZ,55413,705,B,< 1 year,250k+,888000,SVC-02,SVC-02 Servicing LLC,2026-07-19,FISERV,P-2024-A,
LN-000105,B-00339,Personal,Home improvement,01/26/2022,01/26/2052,"$553,500.00","$281,664.08",0.07958,360,4045.19,Current,0,2026-06-18,WA,33691,744,C+,1 year,150-250k,881000,SVC-06,SVC-06 Servicing LLC,2026-07-10,SHAWBROOK,P-2024-A,
LN-000106,B-00301,HELOC,Cash-out refi,03/09/2023,03/09/2043,"$214,500.00",146062.10,0.06673,240,1621.18,Delinquent,60,2026-06-16,GA,23441,,C,2 years,<50k,311000,SVC-05,SVC-05 Servicing LLC,2026-07-30,LEGACY-AS400,P-2024-A,
LN-000107,B-00055,Fixed Rate,Debt consolidation,06/11/2016,06/11/2046,"$98,500.00",50800.62,0.08040,360,725.51,Current,0,2026-07-17,GA,5346,809,B-,7 years,250k+,150000,SVC-01,SVC-01 Servicing LLC,2026-07-18,SHAWBROOK,P-2023-C,
LN-000108,B-00112,Adjustable Rate,Debt consolidation,12/09/2021,12/09/2041,"$684,500.00",393684.25,0.04819,240,4449.24,Current,0,2026-07-04,PA,21776,669,C,7 years,50-75k,866000,SVC-06,SVC-06 Servicing LLC,2026-07-13,BLACKKNIGHT,P-2023-C,
LN-000109,B-00267,Personal,Cash-out refi,09/07/2021,07/09/2051,"$318,000.00",238111.39,0.07127,360,2142.85,Current,0,2026-07-06,N/A,34713,768,A-,< 1 year,100-150k,361000,SVC-06,SVC-06 Servicing LLC,2026-07-18,SHAWBROOK,P-2024-A,
LN-000110,B-00133,Fixed Rate,Refinance,07/13/2022,07/13/2037,"$738,500.00",649956.80,0.06305,180,6354.23,Current,0,2026-06-16,PA,16046,,B-,2 years,<50k,949000,SVC-05,SVC-05 Servicing LLC,2026-07-22,FISERV,P-2024-A,
LN-000111,B-00465,Fixed,Cash-out refi,07/15/2019,07/15/2024,"$539,500.00",425807.56,0.05902,60,10405.48,Delinquent,45,2026-06-14,TX,80593,661,A-,< 1 year,<50k,653000,SVC-04,SVC-04 Servicing LLC,2026-07-14,BLACKKNIGHT,P-2023-C,escrow waived
LN-000112,B-00168,Fixed Rate,Debt consolidation,08/22/2023,08/22/2053,"$428,000.00",396266.24,0.06100,360,2593.66,Current,0,2026-07-06,MI,63020,612,C+,7 years,50-75k,663000,SVC-04,SVC-04 Servicing LLC,2026-07-15,LEGACY-AS400,P-2024-A,refi
LN-000113,B-00266,Auto,Debt consolidation,12/15/2021,12/15/2031,"$437,000.00","$323,454.44",0.07418,120,5168.58,Current,0,2026-07-19,PA,78656,733,A,5 years,75-100k,690000,SVC-04,SVC-04 Servicing LLC,2026-07-24,LEGACY-AS400,P-2024-A,see servicing file
LN-000114,B-00084,ARM,Debt consolidation,02/16/2022,02/16/2052,"$290,500.00",218676.16,0.06094,360,1759.29,Current,0,2026-07-06,VA,72165,,B+,1 year,100-150k,411000,SVC-05,SVC-05 Servicing LLC,2026-07-09,LEGACY-AS400,P-2023-C,escrow waived
LN-000115,B-00020,Adjustable Rate,Cash-out refi,12/17/2015,12/17/2035,"$630,500.00",451465.39,0.04062,240,3841.34,Current,0,2026-06-28,GA,04711,757,B-,10+ years,75-100k,879000,SVC-05,SVC-05 Servicing LLC,2026-07-11,FISERV,P-2024-A,
LN-000116,B-00164,Personal,Refinance,02/01/2018,01/02/2048,"$846,500.00",700147.74,0.06302,360,5240.71,Current,0,2026-07-15,OH,59609,694,A,3 years,250k+,1034000,SVC-06,SVC-06 Servicing LLC,2026-07-20,BLACKKNIGHT,P-2023-C,see servicing file
LN-000117,B-00335,Fixed Rate,Debt consolidation,08/27/2018,08/27/2028,"$746,500.00",445207.37,0.05711,120,8179.76,Current,0,2026-06-25,VA,81279,680,A-,10+ years,100-150k,1077000,SVC-01,SVC-01 Servicing LLC,2026-07-06,SHAWBROOK,P-2023-C,refi
LN-000118,B-00085,ARM,Refinance,10/18/2018,10/18/2023,"$493,000.00",452102.05,0.07123,60,9790.63,Current,0,2026-07-01,NC,26183,,B+,3 years,150-250k,782000,SVC-02,SVC-02 Servicing LLC,2026-07-12,ENCOMPASS,P-2023-C,escrow waived
LN-000119,B-00049,HELOC,Debt consolidation,12/11/2028,12/11/2023,"$238,000.00",146582.41,0.06157,60,4618.60,Current,0,2026-07-21,PA,59018,690,B+,3 years,250k+,324000,SVC-05,SVC-05 Servicing LLC,2026-07-31,BLACKKNIGHT,P-2024-B,
LN-000120,B-00170,HELOC,Purchase,12/15/2019,12/15/2026,"$602,500.00",420386.72,0.07755,84,9317.32,Delinquent,60,2026-07-12,AZ,30197,690,A-,10+ years,50-75k,720000,SVC-05,SVC-05 Servicing LLC,2026-07-29,SHAWBROOK,P-2024-B,
LN-000042,B-00201,Auto,Debt consolidation,12/15/2024,49293,"$71,500.00","$60,134.23",0.06029,120,794.84,Current,0,2026-07-05,NJ,02643,693,A,10+ years,75-100k,109000,SVC-04,SVC-04 Servicing LLC,2026-07-19,ENCOMPASS,P-2024-B,see servicing file
LN-000122,B-00071,Adjustable Rate,Cash-out refi,09/11/2023,09/11/2053,"$69,000.00",56950.95,0.04027,360,330.49,Current,45,2026-06-05,IN,51614,,C+,10+ years,75-100k,108000,SVC-02,SVC-02 Servicing LLC,2026-07-10,SHAWBROOK,P-2023-C,modified 2023
LN-000123,B-00419,HELOC,Debt consolidation,06/03/2020,03/06/2050,"$722,000.00",607474.33,0.04608,360,3704.75,Current,0,2026-06-02,MA,36375,694,B,1 year,100-150k,1112000,SVC-02,SVC-02 Servicing LLC,2026-07-08,FISERV,P-2024-A,escrow waived
LN-000124,B-00359,Auto,Cash-out refi,01/13/2019,01/13/2024,"$794,500.00",702332.64,0.05194,60,16218.61,Current,0,2025-09-12,VA,5166,637,B,10+ years,75-100k,1048000,SVC-04,SVC-04 Servicing LLC,2025-10-05,LEGACY-AS400,P-2024-B,
LN-000125,B-00187,ARM,Purchase,08/25/2020,08/25/2027,"$245,500.00",272104.93,0.07851,84,3808.22,Current,0,2026-05-31,WI,47385,597,A,3 years,<50k,317000,SVC-01,SVC-01 Servicing LLC,2026-07-07,FISERV,P-2023-C,
LN-000126,B-00286,Fixed Rate,Cash-out refi,05/16/2023,05/16/2033,"$365,000.00",193577.55,0.06946,120,4227.81,Current,0,2026-06-23,NC,78168,,B,3 years,50-75k,516000,SVC-06,SVC-06 Servicing LLC,2026-07-25,FISERV,P-2023-C,see servicing file
LN-000127,B-00072,ARM,Purchase,07/22/2017,07/22/2047,"$153,000.00",88142.03,0.07444,360,1063.94,Current,0,2026-06-21,IL,47676,681,C,2 years,100-150k,210000,SVC-02,SVC-02 Servicing LLC,2026-07-14,SHAWBROOK,P-2024-A,
LN-000128,B-00129,Adjustable Rate,Home improvement,07/12/2023,07/12/2053,"$60,000.00",41140.93,0.06859,360,393.52,Current,0,2026-07-01,NJ,95102,752,B-,1 year,250k+,93000,SVC-04,SVC-04 Servicing LLC,2026-07-13,FISERV,P-2024-B,
LN-000129,B-00206,Fixed Rate,Cash-out refi,12/24/2022,12/24/2042,"$736,000.00","$541,045.63",0.06048,240,5293.33,Current,0,2026-07-21,CA,71150,613,B,2 years,<50k,958000,SVC-05,SVC-05 Servicing LLC,2026-07-23,LEGACY-AS400,P-2024-B,
LN-000130,B-00419,Adjustable Rate,Debt consolidation,22/04/2023,04/22/2053,"$197,000.00",111993.51,0.07460,360,1372.06,Paid Off,0,2026-07-20,AZ,70841,,B+,1 year,50-75k,236000,SVC-03,SVC-03 Servicing LLC,2026-07-20,BLACKKNIGHT,P-2024-B,
LN-000131,B-00379,ARM,Debt consolidation,09/06/2019,09/06/2049,"$574,000.00",293778.27,0.04698,360,2976.29,Current,0,2026-06-08,OH,24302,639,B-,5 years,<50k,725000,SVC-06,SVC-06 Servicing LLC,2026-07-08,LEGACY-AS400,P-2024-A,escrow waived
LN-000132,B-00234,Fixed,Home improvement,31/02/2024,09/16/2050,"$186,500.00",162490.78,0.05934,360,1110.26,Current,0,2026-06-10,TX,31652,688,C,5 years,150-250k,267000,SVC-01,SVC-01 Servicing LLC,2026-07-08,LEGACY-AS400,P-2023-C,see servicing file
LN-000133,B-00296,Fixed,Debt consolidation,01/01/1900,01/15/2031,"$819,000.00",710448.35,0.07867,84,12710.91,Current,0,2026-06-02,TN,54176,674,A,7 years,150-250k,1024000,, Servicing LLC,2026-07-15,FISERV,P-2023-C,
LN-000134,B-00287,HELOC,Purchase,09/02/2022,09/02/2032,"$640,500.00",548908.86,0.06537,120,7284.81,Current,0,2026-06-17,FL,99578,,C,2 years,50-75k,810000,SVC-04,SVC-04 Servicing LLC,2026-07-07,ENCOMPASS,P-2023-C,
LN-000135,B-00368,Fixed,Cash-out refi,11/17/2018,11/17/2048,"$560,000.00",280792.14,0.06519,360,3546.58,Current,0,2026-06-27,MI,72912,582,B+,2 years,50-75k,895000,SVC-01,SVC-01 Servicing LLC,2026-07-12,SHAWBROOK,P-2024-B,modified 2023
LN-000136,B-00228,Personal,Refinance,03/14/2024,03/14/2029,"$834,500.00",445902.31,0.04281,60,15474.64,Delinquent,30,2026-07-06,IL,18905,653,B-,2 years,75-100k,1224000,SVC-04,SVC-04 Servicing LLC,2026-07-14,BLACKKNIGHT,P-2023-C,
LN-000137,B-00379,Personal,Purchase,07/05/2015,00/00/0000,"$447,000.00","$210,060.08",0.04718,360,2323.15,Current,0,2026-06-08,NY,24052,798,A-,< 1 year,<50k,626000,SVC-02,SVC-02 Servicing LLC,2026-07-17,FISERV,P-2024-B,refi
LN-000138,B-00057,Personal,Home improvement,05/04/2015,05/04/2045,"$586,500.00",353331.96,0.07155,360,3963.24,Current,0,2026-07-07,IL,82126,,A-,2 years,250k+,798000,SVC-05,SVC-05 Servicing LLC,2026-07-07,FISERV,P-2023-C,
LN-000139,B-00234,Fixed,Home improvement,02/03/2023,02/03/2053,"$625,500.00",466646.82,0.06976,360,4151.39,Current,0,2026-07-01,TN,24411,619,B+,2 years,100-150k,836000,SVC-04,SVC-04 Servicing LLC,2026-07-08,FISERV,P-2024-A,
LN-000140,B-00264,ARM,Purchase,02/04/2020,02/04/2035,"$602,500.00",472067.76,0.06121,180,5123.71,Current,0,2026-06-30,FL,92913,613,C,7 years,100-150k,899000,SVC-02,SVC-02 Servicing LLC,2026-07-18,SHAWBROOK,P-2023-C,
LN-000141,B-00213,Adjustable Rate,Purchase,05/17/2021,05/17/2031,"$131,000.00",120039.86,0.06761,120,1504.93,Current,75,2026-07-01,IN,7638,671,B,2 years,150-250k,190000,SVC-05,SVC-05 Servicing LLC,2026-07-08,FISERV,P-2024-B,
LN-000142,B-00209,Adjustable Rate,Purchase,09/23/2018,09/23/2038,"$676,000.00",535198.32,0.04001,240,4096.78,Delinquent,45,2026-06-22,XX,15301,,A-,5 years,<50k,896000,SVC-04,SVC-04 Servicing LLC,2026-07-12,BLACKKNIGHT,P-2024-A,see servicing file
LN-000143,B-00167,Personal,Debt consolidation,04/07/2018,04/07/2025,"$371,500.00",248179.16,0.05920,84,5412.84,Current,0,2026-06-06,WA,23582,811,B,7 years,<50k,580000,SVC-01,SVC-01 Servicing LLC,2026-07-10,BLACKKNIGHT,P-2024-B,modified 2023
LN-000144,B-00132,HELOC,Cash-out refi,02/10/2017,46662,"$741,500.00",569961.55,0.04406,120,7651.23,Current,0,2026-06-27,WI,76447,590,C+,5 years,150-250k,1027000,SVC-04,SVC-04 Servicing LLC,2026-07-26,BLACKKNIGHT,P-2024-B,
LN-000145,B-00255,HELOC,Purchase,03/14/2024,03/14/2031,"$522,000.00","$281,854.14",0.04106,84,7160.62,Current,0,2026-07-16,AZ,46767,605,A-,1 year,75-100k,780000,SVC-02,SVC-02 Servicing LLC,2026-07-23,LEGACY-AS400,P-2023-C,
LN-000146,B-00454,HELOC,Debt consolidation,01/17/2017,01/17/2027,"$830,000.00",749456.59,0.07587,120,9889.98,Current,0,2026-06-03,Texas,45404,,B-,3 years,150-250k,1096000,SVC-03,SVC-03 Servicing LLC,2026-07-11,FISERV,P-2023-C,refi
LN-000147,B-00119,Adjustable Rate,Home improvement,10/01/2019,10/01/2049,"$356,500.00",240857.29,0.06492,360,2251.45,Current,0,2026-07-26,CA,84043,590,B+,3 years,100-150k,511000,SVC-01,SVC-01 Servicing LLC,2026-07-27,ENCOMPASS,P-2023-C,refi
LN-000148,B-00024,Fixed,Home improvement,06/11/2019,06/11/2049,"$675,500.00",456009.41,0.03974,360,3214.82,Current,0,2026-06-07,MO,43348,800,A-,10+ years,<50k,1016000,SVC-01,SVC-01 Servicing LLC,2026-07-17,LEGACY-AS400,P-2024-B,modified 2023
LN-000149,B-00367,Fixed Rate,Refinance,01/25/2022,01/25/2029,"$93,000.00","(68,036.83)",0.07774,84,1439.07,Current,0,2026-07-27,NC,59458,786,C+,1 year,250k+,125000,SVC-05,SVC-05 Servicing LLC,2026-07-29,FISERV,P-2024-A,
LN-000150,B-00177,Fixed Rate,Cash-out refi,01/22/2016,01/22/2026,"$150,500.00",94021.74,0.04910,120,1675.89,Current,0,2026-06-17,GA,57457,,B,3 years,150-250k,206000,SVC-06,SVC-06 Servicing LLC,2026-07-17,LEGACY-AS400,P-2023-C,modified 2023
,B-00164,HELOC,Home improvement,09/02/2016,02/09/2021,"$737,500.00",685432.10,0.06680,60,14492.30,Current,0,2026-07-05,FL,57188,670,B,10+ years,50-75k,1140000,SVC-02,SVC-02 Servicing LLC,2026-07-15,SHAWBROOK,P-2024-B,see servicing file
LN-000152,B-00469,ARM,Home improvement,11/08/2017,11/08/2032,"$655,000.00",335771.18,0.04606,180,5046.26,Current,0,2026-06-27,NC,32374,716,C,7 years,50-75k,933000,SVC-06,SVC-06 Servicing LLC,2026-07-27,FISERV,P-2024-A,
LN-000153,B-00442,Fixed,Purchase,03/19/2016,03/19/2046,"$612,500.00","$561,265.20",0.04582,360,3133.36,Current,0,2026-06-20,WI,40373,662,B+,7 years,150-250k,839000,SVC-02,SVC-02 Servicing LLC,2026-07-29,LEGACY-AS400,P-2023-C,
LN-000154,B-00261,Fixed Rate,Cash-out refi,06/18/2021,06/18/2036,"$294,500.00",230663.32,0.06839,180,2620.61,Delinquent,30,2026-06-15,FL,63711,,B+,10+ years,250k+,394000,SVC-01,SVC-01 Servicing LLC,2026-07-28,SHAWBROOK,P-2024-B,escrow waived
LN-000155,B-00376,HELOC,Cash-out refi,05/17/2015,05/17/2030,"$81,500.00",63141.82,0.06576,180,713.36,Current,0,2026-07-17,IL,92562,649,A-,3 years,150-250k,125000,SVC-03,SVC-03 Servicing LLC,2026-07-22,FISERV,P-2024-B,refi
LN-000156,B-00040,Fixed Rate,Debt consolidation,11/07/2016,11/07/2023,"$80,000.00",49820.17,0.04335,84,1105.88,Current,0,2026-06-17,FL,51859,601,B-,2 years,250k+,126000,SVC-04,SVC-04 Servicing LLC,2026-07-10,LEGACY-AS400,P-2024-B,see servicing file
LN-000157,B-00309,Fixed Rate,Purchase,06/15/2022,06/15/2052,"$703,500.00",607039.81,0.05433,360,3964.87,Default,120,2026-07-17,OH,82128,664,C,1 year,50-75k,868000,SVC-05,SVC-05 Servicing LLC,2026-07-27,SHAWBROOK,P-2024-A,escrow waived
LN-000158,B-00318,Fixed,Refinance,22/10/2015,10/22/2020,"$61,500.00",34277.94,0.07527,60,1233.12,Current,0,2026-07-06,WI,5223,,B,10+ years,150-250k,68000,SVC-05,SVC-05 Servicing LLC,2026-07-10,BLACKKNIGHT,P-2024-A,
LN-000159,B-00253,Adjustable Rate,Debt consolidation,05/27/2019,05/27/2029,"$798,500.00",706734.05,0.05827,120,8795.78,Current,0,2026-06-19,GA,02400,639,B+,5 years,50-75k,1245000,SVC-02,SVC-02 Servicing LLC,2026-07-30,LEGACY-AS400,P-2024-B,see servicing file
LN-000160,B-00285,Fixed Rate,Refinance,10/10/2024,10/10/2039,"$318,500.00",160800.93,0.06679,180,2805.91,Current,75,2026-07-01,FL,83443,659,B,1 year,100-150k,423000,SVC-05,SVC-05 Servicing LLC,2026-07-20,ENCOMPASS,P-2024-B,escrow waived
LN-000161,B-00454,Adjustable Rate,Purchase,10/04/2021,10/04/2051,"$602,000.00","$366,807.43",0.05703,360,3495.16,Current,0,2026-07-02,IL,92455,599,A-,10+ years,150-250k,740000,SVC-06,SVC-06 Servicing LLC,2026-07-30,SHAWBROOK,P-2023-C,
LN-000162,B-00279,Fixed,Purchase,01/24/2020,01/24/2050,"$728,000.00",776643.34,0.06573,360,4636.46,Current,0,2026-06-04,NC,22407,,A-,2 years,<50k,869000,SVC-06,SVC-06 Servicing LLC,2026-07-18,LEGACY-AS400,P-2023-C,
LN-000163,B-00380,Personal,Refinance,11/28/2017,11/28/2047,"$738,500.00",349984.42,0.04240,360,3628.65,Current,0,2025-10-19,WA,57859,707,B+,5 years,250k+,1061000,SVC-05,SVC-05 Servicing LLC,2025-11-13,BLACKKNIGHT,P-2024-A,
LN-000164,B-00336,Fixed,Cash-out refi,04/03/2024,04/03/2039,"$107,500.00",85773.59,0.05351,180,869.89,Current,0,2026-06-05,NJ,34357,797,B,1 year,250k+,124000,SVC-06,SVC-06 Servicing LLC,2026-07-08,FISERV,P-2023-C,
LN-000165,B-00427,Adjustable Rate,Home improvement,05/06/2015,06/05/2045,"$332,500.00",197204.07,0.06985,360,2208.78,Current,0,2026-07-25,MD,56826,706,B+,1 year,75-100k,369000,SVC-05,SVC-05 Servicing LLC,2026-07-28,ENCOMPASS,P-2024-B,refi
LN-000166,B-00335,Auto,Cash-out refi,05/28/2015,05/28/2020,"$431,500.00",397938.06,0.04798,60,8103.06,Current,0,2026-07-07,MA,61236,,A,3 years,150-250k,688000,SVC-04,SVC-04 Servicing LLC,2026-07-20,SHAWBROOK,P-2024-A,refi
LN-000167,B-00182,Fixed,Home improvement,11/03/2024,47425,"$699,500.00",341050.71,0.07026,60,13859.52,Current,0,2026-07-08,PA,11745,722,C,2 years,<50k,1087000,SVC-05,SVC-05 Servicing LLC,2026-07-24,FISERV,P-2023-C,modified 2023
LN-000168,B-00294,Fixed Rate,Debt consolidation,09/27/2023,09/27/2043,"$273,000.00",197113.83,0.07712,240,2234.79,Current,0,2026-07-27,WI,70180,621,C,5 years,<50k,347000,SVC-01,SVC-01 Servicing LLC,2026-07-30,ENCOMPASS,P-2024-A,escrow waived
LN-000169,B-00227,Adjustable Rate,Purchase,01/09/2017,01/09/2037,"$433,500.00","$375,003.36",5.125,240,2890.93,Current,0,2026-06-26,MI,47870,587,C,< 1 year,100-150k,664000,SVC-02,SVC-02 Servicing LLC,2026-07-17,ENCOMPASS,P-2024-B,escrow waived
LN-000170,B-00153,Fixed,Cash-out refi,05/19/2016,05/19/2046,"$465,000.00",440691.50,0.07273,360,3179.38,Current,0,2026-07-16,AZ,54865,,C+,3 years,150-250k,635000,SVC-06,SVC-06 Servicing LLC,2026-07-18,SHAWBROOK,P-2024-B,
LN-000171,B-00210,ARM,Refinance,02/25/2022,02/25/2037,"$629,500.00",559146.31,0.05599,180,5176.67,Current,0,2026-06-03,AZ,80854,660,B-,5 years,50-75k,766000,SVC-03,SVC-03 Servicing LLC,2026-07-06,SHAWBROOK,P-2024-A,see servicing file
LN-000172,B-00199,Personal,Home improvement,21/08/2022,08/21/2042,"$479,500.00",296868.81,0.08166,240,4060.41,Current,0,2026-06-14,TN,94074,1200,B-,< 1 year,250k+,668000,SVC-04,SVC-04 Servicing LLC,2026-07-20,ENCOMPASS,P-2024-A,modified 2023
LN-000173,B-00243,Fixed Rate,Refinance,31/09/2021,11/24/2028,"$533,000.00",269110.06,0.07247,120,6256.65,Default,120,2026-06-18,TN,18712,667,B+,3 years,75-100k,627000,SVC-04,SVC-04 Servicing LLC,2026-07-21,ENCOMPASS,P-2024-A,
LN-000174,B-00431,ARM,Cash-out refi,06/10/2015,06/10/2030,"$621,000.00",336270.17,0.06608,180,5446.51,Current,0,2026-06-20,CA,22518,,A-,3 years,250k+,893000,SVC-06,SVC-06 Servicing LLC,2026-07-06,SHAWBROOK,P-2023-C,escrow waived
LN-000175,B-00168,ARM,Home improvement,11/21/2018,11/21/2025,"$196,500.00",165946.98,0.05137,84,2789.98,Current,0,2026-07-02,N/A,6829,802,C,7 years,150-250k,240000,SVC-06,SVC-06 Servicing LLC,2026-07-19,SHAWBROOK,P-2024-B,
LN-000176,B-00432,Fixed Rate,Cash-out refi,01/25/2023,01/25/2043,"$138,500.00",78405.75,0.05547,240,1060.63,Delinquent,60,2026-06-29,MO,75027,789,C+,< 1 year,50-75k,209000,SVC-03,SVC-03 Servicing LLC,2026-07-30,SHAWBROOK,P-2023-C,see servicing file
LN-000177,B-00447,ARM,Cash-out refi,11/18/2023,11/18/2053,"$798,500.00","$408,562.87",0.04153,360,3882.93,Current,0,2026-06-22,PA,69513,712,B,5 years,50-75k,1149000,SVC-06,SVC-06 Servicing LLC,2026-07-29,SHAWBROOK,P-2024-A,
LN-000178,B-00356,Fixed Rate,Home improvement,04/24/2016,04/24/2026,"$604,500.00",376838.76,0.08146,120,7380.97,Current,0,2026-06-26,WA,86148,,A,10+ years,100-150k,910000,SVC-01,SVC-01 Servicing LLC,2026-07-06,FISERV,P-2024-A,
LN-000179,B-00398,Adjustable Rate,Purchase,15/06/2016,06/15/2023,"$795,000.00",645245.28,0.06284,600,11722.34,Current,75,2026-06-14,PA,23139,667,A-,2 years,<50k,1156000,SVC-01,SVC-01 Servicing LLC,2026-07-21,SHAWBROOK,P-2024-B,escrow waived
LN-000180,B-00248,HELOC,Home improvement,10/03/2021,10/03/2026,"$361,500.00",172958.39,0.05450,60,6896.73,Delinquent,45,2026-06-26,MI,72980,597,C,2 years,150-250k,458000,SVC-01,SVC-01 Servicing LLC,2026-07-14,SHAWBROOK,P-2024-A,
LN-000181,B-00325,Fixed Rate,Home improvement,07/05/2018,07/05/2048,"$442,500.00",295498.39,0.06792,360,2882.41,Current,0,2026-06-19,NC,56549,707,A-,5 years,50-75k,675000,SVC-03,SVC-03 Servicing LLC,2026-07-29,FISERV,P-2024-A,modified 2023
LN-000182,B-00035,HELOC,Home improvement,01/27/2024,01/27/2054,"$463,500.00",227040.36,0.06495,360,2928.11,Delinquent,60,2026-07-18,MI,29120,,C,< 1 year,150-250k,537000,SVC-05,SVC-05 Servicing LLC,2026-07-25,FISERV,P-2024-A,
LN-000183,B-00242,Fixed Rate,Home improvement,05/11/2023,05/11/2028,"$244,500.00",TBD,0.05362,60,4654.68,Paid Off,0,2026-07-12,NY,-----,658,B-,5 years,250k+,379000,SVC-05,SVC-05 Servicing LLC,2026-07-17,ENCOMPASS,P-2024-A,modified 2023
LN-000184,B-00204,Fixed,Purchase,06/19/2016,06/19/2026,"$462,000.00",358944.02,0.04946,120,4888.04,Current,0,2026-06-13,PA,68318,683,A,1 year,<50k,736000,SVC-02,SVC-02 Servicing LLC,2026-07-13,ENCOMPASS,P-2024-B,
LN-000185,B-00196,Auto,Home improvement,05/08/2020,05/08/2035,"$650,000.00","$337,231.01",0.06525,180,5671.13,Current,0,2026-06-27,WI,68123,771,A-,2 years,75-100k,891000,SVC-04,SVC-04 Servicing LLC,2026-07-28,FISERV,P-2024-B,escrow waived
LN-000186,B-00281,Fixed,Debt consolidation,03/06/2024,06/03/2054,"$204,500.00",169311.48,0.06270,360,1261.80,Current,0,2026-06-24,PA,85035,,A-,3 years,150-250k,250000,SVC-06,SVC-06 Servicing LLC,2026-07-29,FISERV,P-2024-B,
LN-000187,B-00008,Fixed,Home improvement,06/13/2015,06/13/2022,"$148,500.00",89729.44,0.06577,84,2210.68,Current,0,2026-06-22,PA,53166,668,A-,10+ years,<50k,219000,SVC-02,SVC-02 Servicing LLC,2026-07-11,FISERV,P-2023-C,modified 2023
LN-000188,B-00338,Fixed,Purchase,01/24/2022,01/24/2052,"$849,000.00",450600.09,0.07431,360,5896.27,Current,0,2026-07-20,NJ,37444,802,A-,10+ years,50-75k,1119000,SVC-04,SVC-04 Servicing LLC,2026-07-24,ENCOMPASS,P-2024-B,refi
LN-000189,B-00139,Auto,Home improvement,04/06/2016,04/06/2046,"$688,500.00",584555.34,0.06704,360,4444.57,Delinquent,45,2026-07-16,MI,88287,792,B+,7 years,<50k,833000,SVC-05,SVC-05 Servicing LLC,2026-07-28,LEGACY-AS400,P-2024-B,see servicing file
LN-000190,B-00223,Auto,Home improvement,11/11/2020,51451,"$545,000.00",514898.62,0.05074,240,3619.08,Current,0,2026-06-14,MA,35005,,B+,3 years,150-250k,622000,SVC-04,SVC-04 Servicing LLC,2026-07-28,ENCOMPASS,P-2023-C,
LN-000191,B-00256,Fixed Rate,Cash-out refi,10/26/2015,10/26/2022,"$781,000.00",561560.74,0.07062,84,11811.07,Current,0,2026-07-02,TN,24441,636,A-,10+ years,150-250k,1091000,SVC-04,SVC-04 Servicing LLC,2026-07-22,LEGACY-AS400,P-2024-A,
